Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
10,20,RL,74.0,5868,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,2000,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,248.0,Rec,240.0,448.0,936.0,GasA,Ex,Y,SBrkr,936,0,0,936,1.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1956.0,Fin,1.0,308.0,TA,TA,Y,0,0,80,0,160,0,,,,0,5,2010,WD ,Normal,129000
11,60,RL,78.0,10530,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6,1993,1993,Gable,CompShg,MetalSd,MetalSd,BrkFace,194.0,Gd,TA,PConc,Gd,TA,No,GLQ,819.0,Unf,0.0,329.0,1148.0,GasA,Ex,Y,SBrkr,1091,984,0,2075,1.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,1993.0,Unf,2.0,473.0,TA,TA,Y,235,86,0,0,0,0,,,,0,8,2007,WD ,Normal,255000
12,20,RL,60.0,8072,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,ALQ,746.0,Unf,0.0,244.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,0,64,0,0,0,0,,,,0,5,2009,WD ,Normal,138000
13,60,FV,85.0,10625,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1026.0,1026.0,GasA,Ex,Y,SBrkr,1026,932,0,1958,0.0,0.0,2,1,3,1,Gd,9,Typ,1,Gd,Attchd,2005.0,Fin,3.0,936.0,TA,TA,Y,154,210,0,0,0,0,,,,0,7,2008,WD ,Normal,250000
14,45,RL,64.0,6390,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1.5Unf,6,7,1954,1954,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,Y,FuseA,984,0,0,984,1.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1954.0,Unf,1.0,280.0,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,6,2008,WD ,Normal,112500
15,20,RL,74.0,7785,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1014,0,0,1014,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Attchd,1956.0,RFn,1.0,267.0,TA,TA,Y,0,0,40,0,200,0,,GdWo,,0,3,2008,WD ,Normal,98000
16,120,RL,35.0,5118,Pave,,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1990,1990,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,926.0,Unf,0.0,386.0,1312.0,GasA,Gd,Y,SBrkr,1321,0,0,1321,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1990.0,RFn,2.0,484.0,TA,TA,Y,0,64,140,0,0,0,,,,0,8,2007,WD ,Normal,212000
17,120,RL,40.0,3876,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Greens,Norm,Norm,Twnhs,1Story,8,5,1978,1978,Gable,CompShg,Wd Sdng,Plywood,None,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,652.0,Rec,526.0,48.0,1226.0,GasA,TA,Y,SBrkr,1226,0,0,1226,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978.0,Fin,2.0,484.0,TA,TA,Y,133,60,0,0,0,0,,,,0,7,2006,WD ,Normal,170000
18,20,RL,,8125,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,614.0,Unf,0.0,244.0,858.0,GasA,TA,Y,SBrkr,858,0,0,858,0.0,0.0,1,0,3,1,TA,5,Typ,0,,,,,0.0,0.0,,,Y,0,0,0,0,0,0,,,,0,6,2006,WD ,Normal,88000
19,50,RL,52.0,6292,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,7,7,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,Gd,Y,SBrkr,877,600,0,1477,0.0,1.0,2,0,3,1,TA,6,Typ,1,Gd,Detchd,1928.0,Unf,1.0,216.0,TA,TA,Y,0,50,0,0,0,0,,,,0,8,2009,WD ,Normal,145000
20,30,RL,90.0,5400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,2,5,1940,1950,Gable,CompShg,Stucco,Stucco,None,0.0,Fa,TA,PConc,Fa,TA,No,Unf,0.0,Unf,0.0,416.0,416.0,GasA,Gd,N,FuseA,599,0,0,599,1.0,0.0,1,0,2,1,Gd,4,Typ,0,,,,,0.0,0.0,,,N,0,81,0,0,0,0,,,,0,6,2009,WD ,Normal,59000
21,60,RL,96.0,13262,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1082.0,1082.0,GasA,Ex,Y,SBrkr,1105,1295,0,2400,0.0,0.0,3,1,4,1,Gd,10,Typ,1,Gd,BuiltIn,2003.0,Fin,3.0,730.0,TA,TA,Y,114,40,0,0,0,0,,,,0,6,2009,WD ,Normal,290000
22,20,RL,63.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1971,1971,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,No,Rec,119.0,ALQ,613.0,132.0,864.0,GasA,TA,Y,SBrkr,864,0,0,864,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2008,WD ,Normal,123000
23,60,RL,82.0,9709,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,120.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,778.0,Unf,0.0,140.0,918.0,GasA,Ex,Y,SBrkr,958,1142,0,2100,1.0,0.0,2,1,3,1,Ex,8,Typ,2,Gd,BuiltIn,2007.0,Fin,3.0,786.0,TA,TA,Y,172,104,0,0,0,0,,,,0,9,2007,New,Partial,319500
24,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,425.0,TA,TA,CBlock,TA,TA,No,Rec,110.0,LwQ,294.0,79.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,1.0,0.0,1,1,2,1,TA,5,Typ,0,,Detchd,1972.0,Unf,1.0,288.0,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2009,WD ,Normal,97000
25,190,C (all),60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,Mn,Rec,1046.0,Unf,0.0,168.0,1214.0,GasW,Ex,N,SBrkr,1260,1031,0,2291,0.0,1.0,2,0,4,2,TA,9,Typ,1,Gd,Detchd,1900.0,Unf,2.0,506.0,TA,TA,Y,0,0,0,0,99,0,,,,0,11,2007,WD ,Normal,133900
26,50,RM,58.0,8155,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,Gd,Y,FuseA,780,420,0,1200,0.0,0.0,1,0,4,1,TA,7,Typ,0,,,,,0.0,0.0,,,Y,0,0,96,0,0,0,,,,0,7,2008,WD ,Normal,119000
27,50,RL,60.0,10818,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,4,1910,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,1077.0,1077.0,GasA,TA,Y,FuseA,981,779,0,1760,0.0,0.0,1,1,4,1,TA,7,Typ,1,TA,Detchd,1935.0,Unf,2.0,648.0,Fa,TA,Y,120,0,96,0,0,0,,,,0,2,2006,COD,Abnorml,80000
28,20,RL,64.0,6762,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,24.0,Gd,TA,PConc,Gd,TA,Av,GLQ,686.0,Unf,0.0,501.0,1187.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,1.0,0.0,2,0,2,1,Gd,6,Typ,0,,Attchd,2006.0,RFn,2.0,632.0,TA,TA,Y,105,61,0,0,0,0,,,,0,2,2010,WD ,Normal,206000
29,70,RL,74.0,11988,Pave,,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,326.0,Unf,0.0,389.0,715.0,GasA,Fa,Y,FuseA,849,811,0,1660,0.0,0.0,1,1,3,1,TA,6,Typ,1,Gd,Detchd,1939.0,Unf,1.0,240.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2008,WD ,Normal,188700
30,60,RL,74.0,8899,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,108.0,Ex,TA,PConc,Gd,TA,Av,GLQ,40.0,Unf,0.0,908.0,948.0,GasA,Ex,Y,SBrkr,948,1140,0,2088,0.0,0.0,2,1,4,1,Gd,10,Typ,1,Gd,BuiltIn,2007.0,Fin,3.0,656.0,TA,TA,Y,100,24,0,0,0,0,,,,0,6,2008,WD ,Normal,250000
31,20,RL,83.0,13383,Pave,,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1969,2000,Hip,CompShg,HdBoard,HdBoard,BrkFace,176.0,TA,TA,CBlock,TA,TA,No,BLQ,594.0,Unf,0.0,594.0,1188.0,GasA,Ex,Y,SBrkr,1404,0,0,1404,0.0,0.0,2,0,3,1,TA,7,Typ,1,Po,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,0,16,0,0,0,0,,,,0,3,2009,WD ,Normal,160000
32,30,RM,46.0,3672,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1Story,5,7,1922,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,Ex,Y,SBrkr,816,0,0,816,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1922.0,Unf,1.0,100.0,Fa,Fa,N,0,0,96,0,0,0,,,,0,9,2007,WD ,Normal,75200
33,70,RL,69.0,11737,Pave,,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,7,1924,1996,Gambrel,CompShg,BrkComm,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,848.0,848.0,GasW,TA,N,SBrkr,1017,810,0,1827,0.0,0.0,1,0,2,1,TA,9,Typ,1,Gd,Detchd,1943.0,Unf,1.0,240.0,Fa,TA,Y,27,36,42,0,0,0,,GdPrv,,0,5,2006,WD ,Normal,202500
34,60,RL,82.0,9452,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,423.0,Gd,TA,PConc,Gd,TA,No,GLQ,1074.0,Unf,0.0,322.0,1396.0,GasA,Ex,Y,SBrkr,1407,985,0,2392,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1997.0,Fin,3.0,870.0,TA,TA,Y,0,70,0,0,0,0,,,,0,6,2006,WD ,Normal,348000
35,20,RL,63.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Gd,No,GLQ,54.0,Unf,0.0,1087.0,1141.0,GasA,Ex,Y,SBrkr,1141,0,0,1141,1.0,0.0,1,1,3,1,Gd,6,Typ,0,,Detchd,2006.0,RFn,2.0,484.0,TA,TA,Y,182,0,0,0,0,0,,,,0,6,2009,WD ,Normal,152000
36,50,RL,60.0,8382,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,TA,Y,FuseA,832,505,0,1337,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1956.0,Unf,1.0,263.0,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2010,WD ,Normal,108000
37,80,RL,76.0,9880,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,522.0,Unf,0.0,574.0,1096.0,GasA,TA,Y,SBrkr,1118,0,0,1118,1.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Attchd,1977.0,Fin,1.0,358.0,TA,TA,Y,203,0,0,0,0,576,Gd,GdPrv,,0,7,2008,WD ,Normal,171000
38,60,RL,82.0,11287,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,421.0,Unf,0.0,386.0,807.0,GasA,Gd,Y,SBrkr,1175,807,0,1982,0.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1989.0,Fin,2.0,575.0,TA,TA,Y,0,84,0,196,0,0,,,,0,1,2007,WD ,Normal,228500
39,60,FV,85.0,10574,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,0.0,1082.0,1082.0,GasA,Ex,Y,SBrkr,1082,871,0,1953,0.0,0.0,2,1,3,1,Gd,9,Typ,1,Gd,Attchd,2005.0,RFn,3.0,1043.0,TA,TA,Y,160,50,0,0,0,0,,,,0,5,2009,WD ,Normal,252000
40,160,RL,24.0,2308,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,6,5,1974,1974,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,257.0,Rec,495.0,103.0,855.0,GasA,TA,Y,SBrkr,855,467,0,1322,0.0,1.0,2,1,3,1,TA,6,Typ,1,Fa,Attchd,1974.0,Unf,2.0,440.0,TA,TA,Y,260,0,0,0,0,0,,,,0,6,2009,WD ,Normal,147000
41,60,RL,,8121,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,953.0,953.0,GasA,Ex,Y,SBrkr,953,711,0,1664,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,RFn,2.0,460.0,TA,TA,Y,100,40,0,0,0,0,,,,0,1,2006,WD ,Normal,172400
42,60,RL,90.0,14670,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,7,1966,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,410.0,Gd,Gd,CBlock,TA,TA,No,BLQ,575.0,Unf,0.0,529.0,1104.0,GasA,Ex,Y,SBrkr,1104,884,0,1988,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1966.0,RFn,2.0,480.0,TA,TA,Y,0,230,0,0,0,0,,MnPrv,,0,8,2008,WD ,Normal,227000
43,20,RL,108.0,12228,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Stone,206.0,Gd,TA,PConc,Ex,Gd,No,Unf,0.0,Unf,0.0,1721.0,1721.0,GasA,Ex,Y,SBrkr,1740,0,0,1740,0.0,0.0,2,0,4,1,Gd,8,Typ,0,,Attchd,2006.0,RFn,3.0,874.0,TA,TA,Y,0,43,0,0,0,0,,,,0,9,2006,New,Partial,293000
44,20,RL,80.0,11040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1971,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,144.0,Gd,Gd,CBlock,TA,TA,No,ALQ,656.0,Unf,0.0,602.0,1258.0,GasA,Ex,Y,SBrkr,1258,0,0,1258,0.0,1.0,2,0,3,1,Gd,5,Typ,0,,Attchd,1971.0,RFn,2.0,528.0,TA,TA,Y,55,0,0,216,0,0,,,,0,10,2008,COD,Abnorml,145000
45,85,RL,150.0,14137,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,4,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,98.0,TA,TA,CBlock,Gd,TA,Av,ALQ,865.0,LwQ,247.0,88.0,1200.0,GasA,Gd,Y,SBrkr,1200,0,0,1200,1.0,0.0,1,0,3,1,TA,6,Typ,0,,2Types,1964.0,Fin,3.0,850.0,TA,TA,Y,0,119,0,0,171,0,,,,0,11,2008,ConLD,Normal,173000
46,80,RL,,9947,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,611.0,Unf,0.0,577.0,1188.0,GasA,Ex,Y,SBrkr,1217,0,0,1217,1.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,1990.0,Unf,2.0,497.0,TA,TA,Y,168,27,0,0,0,0,,GdPrv,,0,6,2009,WD ,Normal,173000
