"default","utilization","age","debt_ratio","income","open_credit_lines","real_estate_loan","dependents","ever_past_due"
0,0.243872021,53,0.534027778,8639,22,1,3,0
0,0.362483818,27,567,6643.166,4,0,0,0
0,0.116676791,31,0.343593791,3800,7,1,0,0
0,0.9999999,38,0.43369976,5821,7,1,4,0
0,0.496911825,40,0.452363811,12500,11,1,2,0
0,0.130902106,48,0.427882174,3937,17,1,0,1
0,0.54699881,50,0.748071979,3500,9,1,3,0
0,0.072277109,34,0.025911708,2083,2,0,0,0
0,0,48,0.370876375,3000,14,1,5,1
0,0.175932019,57,0.655812625,3500,9,1,1,1
0,0.050789842,30,0.315171207,4000,4,1,1,0
0,0,28,0.144616356,3166,7,0,0,0
0,0.21286031,36,0.563752087,9583,10,1,1,0
0,0.012682366,60,0.412979783,6825,20,1,0,0
0,0.121557062,58,0.342971419,12000,23,1,4,0
0,0.147712223,40,0.034847816,6800,6,0,3,0
0,0,50,0.726566993,3477,5,1,1,1
0,0.070771911,38,2088,6643.166,6,1,0,0
1,1.046279103,47,1.104301274,5416,6,1,1,1
0,0.323719804,63,0.610841267,5146,9,1,2,0
0,0.36459777,42,0.593899089,6916,7,1,0,0
0,0.637736406,54,3.382196162,1875,9,1,0,1
0,0.170103002,36,0.138461538,7734,8,0,0,0
0,0.771845631,33,0.852429514,5000,7,1,0,0
0,0.05538241,72,0.089091313,4500,4,0,0,0
0,0.9999999,29,974,6643.166,2,0,0,0
0,0.16653274,53,0.543625949,7506,11,1,3,0
0,0.008632035,79,0.365151154,4200,9,1,0,0
0,0.13527952,58,0.342005076,9455,11,1,2,0
0,0.167571389,69,0.330733853,5000,10,1,1,0
0,0.9999999,69,0.005319149,2255,0,0,3,0
0,0.068335151,75,0.010927876,10065,9,0,0,0
0,0,41,0.907538526,2400,6,1,0,0
1,0.946963874,35,1593,6643.166,6,1,1,0
0,0.405183973,46,0.667835346,7700,22,1,1,0
0,0.184986787,55,3144,6643.166,11,1,0,1
1,0,25,0.152896812,2916,3,0,0,0
1,0.786485406,44,0.291709578,3883,7,0,1,0
0,0.0112096,86,13,6643.166,3,0,0,0
0,0.03833451,56,0.438912218,5000,7,1,0,0
0,0.714980139,55,0.47090194,15000,12,1,3,0
0,0.043032042,64,0.332016389,6833,14,1,0,0
0,1.095083357,53,0.536703799,3500,7,1,0,1
0,0,49,2932,6643.166,11,1,0,0
0,0.9999999,55,0.156259612,3250,5,0,4,0
0,0.101430135,80,0.016196761,5000,9,0,0,1
1,0.025892469,38,74.5,1,13,0,2,0
0,0.231692268,40,0.119660709,3300,7,0,0,0
0,0.114869499,35,103,6643.166,6,0,0,0
0,0.045423864,64,0.181311286,5200,4,1,0,0
0,0.311954668,61,0.269281443,9866,12,1,2,0
0,0.078738916,46,0.166215372,4800,6,1,4,0
0,0.137609462,49,0.429533892,7272,11,1,0,0
0,0.030173038,64,0.17386957,9000,8,1,0,0
0,0.021978375,40,0.443755624,10000,12,1,2,0
0,0.443696851,27,0.024340075,5833,4,0,0,0
0,0.007506793,60,1253,6643.166,8,1,1,0
0,0.046640328,92,0.034326669,2650,13,0,0,1
0,0.292365949,50,0.420180551,8750,8,1,0,0
0,0.20808276,64,2826,6643.166,14,1,0,0
0,0.9999999,66,0.358101135,1937,4,0,0,1
0,0.013500824,53,0.183464028,19000,8,1,2,0
0,0.9999999,62,0.04965839,6000,1,0,0,0
1,0.655316473,63,5223,6643.166,19,1,0,0
0,0.9999999,50,1208,6643.166,4,1,0,1
0,0.028113957,61,0.031349387,2200,12,0,0,0
0,0.593985244,63,0.332698534,5250,4,1,0,0
0,0.017508178,73,0.135589153,4166,12,1,0,1
0,0.611865678,72,0.04578345,7600,3,1,0,0
0,0.333060631,52,0.700153374,5215,15,1,0,1
0,0.009025178,45,0.376836435,8167,4,1,2,0
0,0.260271523,44,0.296854804,6962,11,1,0,0
0,0.455950788,63,0.701766078,6001,19,1,0,1
0,0.080288098,37,0.322446259,6000,7,1,0,0
1,1.953488372,38,0.153500141,3556,5,0,2,0
0,0.181557324,36,0.56071964,2000,7,1,1,0
0,0.147123525,41,0.436025621,6400,5,1,2,0
0,0.025601772,63,0.262773723,10000,8,1,0,1
0,0,76,0.002465931,7704,3,0,0,0
0,0.196372799,43,0.537485582,2600,10,1,0,0
0,0.083945242,64,0.588073078,2900,6,1,0,0
0,0.034833091,67,0.460246187,12916,9,1,0,0
0,0.787522133,52,0.353860086,4416,12,0,1,0
0,0,66,3730,6643.166,8,1,0,0
0,0.06037487,42,0.578676723,5833,17,1,2,0
0,0.295928252,47,0.283765445,14000,6,1,1,0
1,0.973339258,61,0.209961825,5500,11,0,1,1
0,0.002856735,73,0.000285687,10500,10,0,0,0
0,0.877564897,58,2825,6643.166,10,1,0,0
0,0.9999999,68,0.040493251,6000,0,0,0,0
0,0.732660667,44,0.14041952,9200,15,1,0,1
0,0.114561798,40,0.359964004,10000,20,1,2,0
0,0.012151003,78,0.008886914,4500,12,0,0,0
0,0.081310737,81,0.165566887,3333,4,0,0,0
0,0.09811305,49,0.257017809,6625,9,1,0,0
1,1.048210842,58,0.151956584,3500,12,0,0,1
0,0.75264947,33,0.058322869,7166,6,0,0,1
0,0.112321289,53,0.266909775,8500,9,1,5,0
0,0,23,0,1725,1,0,0,0
0,0.634327056,49,0.123125125,15000,7,0,1,1
0,0,63,0.007988922,9387,9,0,0,0
0,0.090614887,42,86,6643.166,5,0,0,0
0,0.034645112,65,0.125189985,12500,4,1,1,0
0,0.027446383,54,1612,6643.166,6,1,0,0
0,0.412398622,28,0.037259615,4991,5,0,0,0
0,0.046710961,66,1.117952819,2500,12,1,0,0
0,0.976531824,32,0.264078812,6800,6,0,2,0
0,0.267541336,59,0.637607437,5700,13,1,1,0
0,0.019779326,76,0.267149259,2900,9,0,0,0
0,0.010402205,68,0.094140517,3600,6,1,0,0
0,0.9999999,61,0.529548989,1285,3,1,0,0
0,0.029816467,68,0.175139978,4464,12,1,1,0
0,0.181713732,57,0.130453416,11666,17,1,1,0
0,0.051368557,68,0.445277361,4668,10,1,2,0
1,0.220823719,46,0.637749121,1705,5,0,0,1
0,0.008099838,69,0.389895596,8332,3,1,0,0
0,0,44,0.326383681,6666,4,1,1,0
0,0.006099797,28,0.139429485,3750,8,0,0,0
0,0.909538698,53,0.595653913,7500,16,1,1,1
0,0.941072508,40,0.178184282,8855,9,1,0,0
0,0.991667222,36,0.554878049,5411,10,1,1,1
0,0.691488418,42,0.272721679,16250,11,1,1,0
0,0.112855258,64,0.307576329,2652,6,1,0,0
0,0.048244493,62,0.262879153,16615,11,1,1,0
0,0.9999999,47,0.092163472,9493,2,0,0,0
0,0.9999999,62,0,5480,3,0,0,0
0,0.074256375,49,0.347930414,5000,11,1,3,0
0,0.144878408,66,0.28446242,8900,9,1,0,0
0,0.191001932,54,0.705627706,5081,10,1,2,0
0,0.219382879,56,942,6643.166,9,1,1,1
0,0.679813777,83,0.689589756,4216,6,1,0,0
0,2340,45,0.339332853,8333,7,1,2,0
0,0.371875401,29,0.53628857,2300,9,1,3,0
0,0.025856408,67,0.083799311,13054,13,1,0,0
0,0.547887778,29,0.24651504,2725,5,0,0,1
0,0.271668778,46,0.282830201,15800,14,1,4,1
0,0.085152475,25,1005,0,5,0,0,0
0,0.897203427,68,0.787803049,4000,8,1,0,0
0,0.25889775,33,0.537441339,4900,3,1,1,0
0,0,55,0.03988553,5590,8,0,0,1
0,0.035940506,46,0.271186441,6666,10,1,3,0
0,0.9999999,66,0.046633911,11600,2,0,1,0
0,0.465238835,66,0.391427671,3172,8,1,0,0
0,0.865423051,48,0.075848303,500,1,0,0,0
0,0.696411671,52,0.408871921,11000,11,1,4,0
0,0.544497658,32,0.166766647,6667,5,0,0,1
0,0.081238383,51,0.066830086,7750,14,0,2,0
0,0.948762809,27,0.144948404,4166,5,0,0,0
0,0.016598893,30,0.136575616,1500,5,0,0,0
0,0.063329564,37,0.329935275,6179,6,1,3,0
0,0.093638481,49,0.042836573,8333,10,0,1,0
0,0,37,0.184027338,7900,5,1,5,0
0,0.730271957,36,0.632794037,5500,10,1,0,1
0,0.426371142,62,0.406053995,3666,15,1,0,1
0,0.948978489,57,0.043744532,8000,3,0,1,0
0,0,59,0,4200,7,0,1,0
0,0.0164781,92,10,6643.166,3,0,0,0
0,0.042606843,58,3976,6643.166,13,1,0,0
0,0.022890604,37,0.288477299,6100,16,1,0,0
0,0.319779462,32,1.247340213,12500,12,1,0,0
0,0.155240525,52,0.483518065,6946,15,1,1,0
0,0.013115183,43,4211,0,21,1,2,0
0,0.284236153,45,0.318890815,7500,9,1,2,1
0,0.727560021,38,0.712458746,2423,6,1,1,0
0,0.687779097,62,0.249471161,7090,15,0,0,0
0,0.9999999,29,0,6643.166,0,0,0,0
0,0.033708851,41,0.408706353,6500,9,1,2,0
0,0,29,0.193935355,3000,7,0,0,0
0,0,55,0.388320836,4400,4,1,1,1
0,0.053589282,87,0.001534331,5213,4,0,0,0
0,0.100773109,41,0.199761673,9230,7,1,0,0
0,0,61,1.394967177,913,11,1,0,0
0,0.399946674,28,0.189702574,4000,6,0,1,0
0,0.052653171,43,0.572292191,1984,9,0,4,0
0,0.072318616,71,0.426412462,4300,8,1,1,0
0,0.203959597,46,0.072914726,16100,6,1,2,0
0,0.429246267,59,0.381254316,15928,17,1,1,0
0,0,47,773,6643.166,2,1,1,0
0,0.360907571,72,0.356679286,3697,6,1,0,0
0,0.335737457,50,0.45722203,5773,9,1,1,0
0,0,58,8380,6643.166,20,1,0,0
0,0.507972665,69,0.193935355,3000,10,0,0,1
0,0.245841666,71,151,6643.166,5,0,0,0
1,0.953343701,48,2073,6643.166,5,1,0,1
0,0.9999999,37,0.184625639,4500,2,0,1,0
0,0.118853837,50,2720,6643.166,7,1,2,0
0,0.630073985,38,0.563328034,1886,3,1,0,0
0,0.9999999,35,3388,6643.166,1,1,0,0
0,0.028423247,59,0.033982276,14330,12,1,0,0
0,0.143427862,67,0.119463561,5666,9,0,0,0
0,0.186682782,30,0.698120752,2500,7,1,2,0
0,0.496388581,56,0.170164956,19580,12,1,1,0
0,0.457526639,51,0.333583302,8000,16,1,2,0
0,0.728218119,40,3878,6643.166,10,1,0,1
0,0.947264856,28,0.467171717,1187,4,0,0,0
0,0.013916922,54,0.017655818,4700,7,0,2,0
0,0.502958087,57,6381,6643.166,5,1,0,0
0,1.047495906,35,0.314566116,3871,8,1,3,1
0,0.543445655,46,0.267146571,5000,6,1,3,0
0,0.082317351,64,0.214426305,8636,29,1,1,0
0,0.292541492,74,0.164917541,2000,3,0,0,0
0,0.024240472,64,0.101514142,10500,20,1,0,0
0,0.047650102,63,0.387956894,9000,6,1,0,0
1,0.739146488,63,0.285156885,6150,12,0,1,1
0,0.186890655,54,0.655589124,3640,7,1,1,0
0,0.007501937,63,0.278226307,8050,13,1,3,0
0,0.522314625,45,0.290229092,14491,13,1,3,0
0,0.903231566,57,0.13080895,5228,10,0,0,0
0,0.000582648,54,2028,6643.166,13,1,1,0
0,0.003894686,90,876,6643.166,11,1,0,0
0,0.250008365,60,2.086478612,7550,26,0,0,0
0,0.466334165,34,0.007495315,3201,3,0,0,1
0,0.114588541,38,34,6643.166,2,0,0,0
0,0.9999999,60,0,4200,0,0,0,0
0,0.267905614,76,0.285452994,8200,12,0,0,0
0,0.305246317,39,0.188281635,10154,6,1,2,0
0,0.000685675,83,0,6643.166,4,0,0,0
0,0.702493864,63,0.582162622,4697,8,1,1,0
0,0.742436041,52,0.414081023,9700,10,1,0,0
1,0.802417179,58,668,6643.166,5,0,0,1
0,0.9999999,42,0.113421853,6250,3,0,2,1
0,0.134191514,63,926.5,1,9,1,0,0
0,0.002556199,58,0.115826132,7752,17,0,2,0
0,0.088845558,62,0.073772011,5394,5,0,0,0
0,0.203947961,46,1.206516118,5800,12,1,2,1
0,0.006666097,27,0.000268637,7444,5,0,0,0
0,0.014049649,27,0.352214765,3724,4,1,1,0
0,0.9999999,35,0.092985318,3064,1,0,3,1
0,0.368866624,55,0.437996083,9700,18,1,0,0
0,0.054553316,73,0.043259135,16666,13,0,0,0
0,0.179487766,51,0.492529978,10173,19,1,0,0
0,0.026885902,36,0.344879921,11200,6,1,2,0
0,0.011847989,49,1599,6643.166,12,1,0,0
0,0.07083751,64,0.255290785,6000,6,0,1,0
0,0.030996074,56,0.131430952,4800,11,1,0,0
0,0.353017659,48,1.299736021,4166,17,1,1,0
0,0.020074662,36,0.334245422,4750,5,1,0,0
0,0.032769199,70,724,6643.166,11,1,0,0
1,0.733885463,49,0.369223765,8785,20,1,2,1
0,0.063514422,57,2221.5,1,12,1,0,0
1,0.991502124,61,1.2979007,3000,11,1,1,1
0,0.397702982,38,0.41627543,5750,6,1,2,0
0,0.971352432,24,0.035803497,1200,3,0,0,0
0,0.9999999,33,1786,6643.166,3,1,0,0
0,0,73,0.386728192,4550,18,0,0,0
0,0.9999999,79,0.130140954,5178,6,1,0,0
0,0.003851709,81,0.000822143,3648,1,0,1,0
0,0.010887967,55,0.725137431,2000,7,1,0,0
0,0.686083014,57,0.16069592,11667,6,1,2,0
0,0.212464485,58,0.518991188,3290,10,1,1,0
0,0.006956358,52,0.003278689,2439,4,0,0,0
0,0.073251754,51,0.446688128,10250,9,1,2,0
0,0.431904058,63,0.41905226,8208,22,1,0,0
0,0.014310431,56,13,6643.166,2,0,0,0
0,0.026944485,41,0.686736475,4583,8,1,0,0
0,0.297094601,43,0.603763294,3666,9,1,2,1
0,0.316064767,56,1348,6643.166,3,1,0,0
0,0,59,862,6643.166,2,1,0,0
0,0.922670104,40,0.207789429,9345,7,0,0,0
0,0.319190816,49,0.358153388,9400,18,1,0,0
0,0.008737352,68,0.209965006,6000,28,1,0,0
0,0,57,0.785229953,6783,8,1,0,0
0,0.243674266,48,0.179979778,8900,10,1,6,0
0,0.9999999,40,0.19170579,3833,3,0,2,1
0,0,23,0,3500,1,0,1,0
0,0.028910707,52,0.013543599,5389,7,0,2,0
0,0.03423863,48,2045,6643.166,3,1,0,0
0,0.50329934,55,0.454057468,3166,5,1,0,0
0,0.799981673,61,0.671076012,5064,19,1,0,1
0,0.069987933,33,0.114004783,3762,7,0,0,0
0,0.067901335,69,0.065493451,10000,5,1,0,0
0,0.740635161,39,0.432010059,5566,7,1,0,0
0,0.023382944,84,0.00912845,4600,6,0,0,0
0,0.9999999,32,0.095584668,2060,1,0,0,1
0,0.092287617,61,0.229436075,7500,23,1,2,0
0,0,37,0.177007047,7236,5,1,3,0
0,0.9999999,33,0.257707218,5416,2,1,1,1
0,0.057867667,81,0.145685279,3939,13,0,0,0
0,0.07807727,60,0.566105156,3917,14,1,2,0
0,0.201943642,46,0.394460554,10000,15,1,3,0
0,0.077958915,57,0.053530226,6500,19,0,0,0
0,0.205676486,57,0.130309575,8333,8,1,0,0
1,0.57985084,42,0.594224361,2700,8,0,0,0
0,0.073393457,38,0.384761524,10000,9,1,0,1
0,0.079178219,82,0.176964607,5000,3,1,0,0
0,0.073123172,33,0.216405216,5290,9,0,0,0
0,0.745173448,68,0.168767792,4917,4,1,0,0
0,0.10088331,52,0.280494456,5500,6,1,2,1
0,0.347665233,46,0.041583367,2500,1,0,1,0
0,0.354125994,57,0.558762411,4330,4,1,0,0
0,0.029643294,50,0.399106478,9400,15,1,0,0
0,0.540204354,34,0.034395414,7500,3,0,0,0
0,0.640927271,53,0.52409692,11266,17,1,3,1
0,0.058271403,76,0.374304267,4311,7,1,0,0
0,0.719305764,64,0.186225718,6228,5,1,0,0
0,0.045017363,72,0.020763907,3900,8,0,0,0
0,0.57762185,71,0.4925,6399,14,1,1,1
0,0.320593837,53,1.114622389,5600,14,1,1,0
0,0.173428408,51,0.086269282,5250,11,0,0,1
0,0.401789055,55,0.412779302,2550,11,0,0,0
0,0.301152442,46,0.254661625,7668,10,1,3,0
0,0,27,0.229139073,2264,5,0,0,1
0,0.067512585,43,0.44723563,9115,4,1,0,0
0,0,75,0.205971968,1640,4,0,1,0
0,0.993335555,31,0.068227425,4484,6,0,1,0
0,0.138793584,43,0.384074741,11666,9,1,0,0
0,0.193584801,51,0.532754538,3800,13,1,0,0
0,0.001124859,28,0.057990335,6000,8,0,0,1
0,0.485558448,51,0.09963548,6583,5,0,0,0
0,0.979521555,55,0.467850417,7433,11,1,0,1
0,0.090641506,69,0.016683267,4015,2,0,0,0
0,0.38480769,42,0.533099636,7416,5,1,3,0
0,0.183676155,33,0.660528423,2497,9,1,0,0
1,0.9999999,54,0.228402866,2372,2,0,0,0
0,0.290320472,48,0.262848568,7996,7,1,3,0
0,0.9999999,73,8500,0,2,0,0,0
0,0.412657703,66,0.195074372,4100,7,0,0,1
0,0.091201293,49,0.568886223,5000,15,1,0,1
0,0.500234532,46,0.278025952,4700,10,1,1,0
1,0.913140498,37,1.620344914,4000,16,1,1,1
0,0.056390008,54,2126,6643.166,8,1,0,0
0,0.611388611,22,0.347066167,800,4,0,0,0
0,0.065630892,31,0.162635688,5250,10,0,0,0
0,0.499666889,39,0.450171821,3200,8,1,0,0
0,0.9999999,56,7,6643.166,1,0,0,0
0,0.289470539,44,0.4825614,8916,17,1,1,0
1,0.814154511,50,0.297139683,3600,8,1,1,1
0,0.078497383,52,0.207274054,8220,5,1,3,0
0,0.029692431,58,0.287187752,6204,19,1,0,1
0,0.01255887,62,0.044762033,7416,5,0,0,0
0,0.551889862,42,0.790613718,3600,18,1,1,1
0,0.581815774,45,0.724784402,8000,11,1,0,0
0,0,82,0,6643.166,3,0,0,0
0,0.312068793,55,0.127071823,1266,5,0,0,1
0,0.266371179,58,0.498488489,12900,12,1,2,0
0,0.040186458,35,0.300839136,5600,8,1,1,0
0,0.749602291,62,7963,6643.166,7,1,3,0
1,0.955545894,52,0.524949909,10480,11,1,1,1
0,0.212768452,57,2301,6643.166,17,1,0,0
0,0.188256123,27,0.881825173,3900,6,1,1,0
0,0.014049887,37,0.674399608,6120,9,1,0,0
0,0.329609837,36,0.437743191,3597,16,1,2,0
0,0.484099985,40,0.423251505,10794,9,1,2,0
0,0,86,2,6643.166,9,0,0,0
0,0.9999999,40,0.60616581,7200,6,1,0,0
0,0.152250785,49,0.030774358,9000,3,0,0,0
0,0.2128856,66,0.351891786,5100,10,1,0,0
0,0.9999999,63,0.200843235,5217,5,1,4,1
0,0,30,0,4700,1,0,1,0
0,0,27,0,4500,5,0,0,0
0,0.10680013,44,0.747375437,6000,8,1,2,1
0,0.277436128,59,0.388566694,3620,8,1,1,0
0,0.285342534,38,0.08951092,3250,4,0,3,0
0,0.57073821,39,1314,6643.166,5,1,0,0
0,0.622524722,43,0.353883732,10234,8,1,0,0
0,0.113165062,57,3169,6643.166,16,1,3,0
0,0,75,0.527431421,801,4,1,0,0
0,0.486651335,55,0.324741695,9000,10,1,0,0
0,0.875440658,37,0.437717467,1436,5,0,1,0
0,0.043861767,69,0.064119265,6908,7,1,0,0
1,0.339503567,89,0.549380248,2500,9,0,0,1
0,0.064835195,56,0.197624587,8166,10,1,0,1
0,0.008684579,75,0.0013269,8289,5,0,0,0
0,0.503587987,63,1.308922769,4000,16,1,0,0
0,0.697812691,31,0.236980252,12000,10,0,1,0
0,0.650432993,61,0.368063194,10000,10,1,1,0
0,0.30248201,46,0.348057208,7900,12,1,2,0
0,0.9999999,40,0.185755935,2400,1,0,0,0
0,0.159116246,91,0.184123484,1813,6,0,0,0
0,0.768537191,46,2568,6643.166,5,0,0,0
0,0.155644438,56,0.336831584,2000,5,1,0,0
0,0.836294011,29,0.260170076,4350,8,1,1,1
0,0.293041811,45,0.373940678,3775,5,1,3,0
0,0,51,0.238076192,10000,6,1,0,0
0,0.106531463,78,0.024303074,5595,9,0,0,0
0,0.250818316,36,0.240143984,5833,6,1,1,0
0,0.181579946,54,0.3539428,6048,9,1,1,0
0,0.002964536,67,0.349026844,16800,14,1,0,0
0,0.048911121,63,0.102800764,6283,4,0,1,0
1,0.517045364,61,0.572590321,7500,20,1,0,0
0,0.024100447,86,0.010791367,2223,6,0,0,0
0,0.122976319,50,0.454103343,3289,6,1,1,0
1,0.387065977,51,0.350874186,5833,12,1,1,0
0,0.021741679,70,0.187762448,5000,11,1,0,0
0,0.269257489,44,0.607594937,1500,7,0,3,0
0,0.996301651,39,0.306101912,10930,17,0,1,1
0,0.008665511,58,1.908629442,6500,17,1,0,0
0,0.155742213,39,723,0,13,0,2,0
0,0.733914381,33,0.158975542,4333,7,0,1,0
0,0.210442588,53,0.513602495,5770,10,1,1,0
0,0.095634788,36,0.175266904,2247,4,0,1,0
0,0.124801376,62,0.566894457,6584,15,1,0,0
0,0.016995185,62,0.002301937,5212,4,0,0,0
0,0.211206477,44,0.2138395,2080,13,0,0,1
0,0.184476515,32,0.444956049,7166,11,1,0,0
0,0,52,0.444444444,3500,5,1,1,0
0,0.187090597,63,0.506873282,4000,10,1,1,0
0,0.732202177,44,0.258576628,12912,26,0,0,0
0,0.392141112,54,1.383017398,3850,18,1,2,0
0,0.063688754,41,0.266876688,6665,8,0,1,0
0,0.616982372,32,0.191649336,6250,10,0,2,1
0,0.014441183,75,0.145703611,16059,8,1,0,0
0,0.531963331,64,0.480082158,18500,19,1,1,1
0,0.346960384,41,1.432686655,1700,13,1,2,0
0,0.024305835,30,1581,6643.166,6,1,0,0
0,0.9999999,40,2866,0,2,1,0,0
0,0,56,0,6200,2,0,0,0
0,0.65854007,55,0.489714904,5541,6,1,0,0
0,0.104693763,36,0.297372704,4300,8,1,1,0
