"year","union","ethnicity","married","health","industry","occupation","residence","lwage","lschool","lexper"
2011,"no","other","no","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",10.6659357237761,2.484906649788,1.09861228866811
2012,"no","other","no","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",10.6512400990142,2.484906649788,1.38629436111989
2013,"no","other","no","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",10.6276410308996,2.484906649788,1.6094379124341
2014,"no","other","no","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",10.5551648725059,2.484906649788,1.79175946922805
2015,"no","other","no","no","Business_and_Repair_Service","Service_Workers","north_east",10.2230167051816,2.484906649788,1.94591014905531
2016,"no","other","no","no","Business_and_Repair_Service","Service_Workers","north_east",10.5762263923926,2.484906649788,2.07944154167984
2017,"no","other","no","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",10.5765672207209,2.484906649788,2.19722457733622
2018,"yes","other","no","no","Business_and_Repair_Service","Service_Workers","north_east",10.2886598132099,2.484906649788,2.30258509299405
2011,"yes","other","no","no","Trade","Clerical_and_kindred","north_east",10.0519075576544,2.39789527279837,1.09861228866811
2012,"no","other","no","no","Professional_and_Related Service","Clerical_and_kindred","north_east",10.5221129445629,2.39789527279837,1.38629436111989
2013,"no","other","no","no","Manufacturing","Sales_Workers","north_east",10.6466983717668,2.39789527279837,1.6094379124341
2017,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",11.4456562856435,2.39789527279837,2.19722457733622
2018,"no","other","no","no","Professional_and_Related Service","Managers, Officials_and_Proprietors","south",11.6158789059468,2.39789527279837,2.30258509299405
2011,"yes","other","no","no","Trade","Laborers_and_farmers","north_east",10.4624945837882,2.30258509299405,1.09861228866811
2014,"yes","other","no","no","Trade","Clerical_and_kindred","north_east",10.8352092128783,2.30258509299405,1.79175946922805
2015,"yes","other","no","no","Trade","Clerical_and_kindred","north_east",10.6273838460541,2.30258509299405,1.94591014905531
2016,"no","other","no","no","Trade","Craftsmen, Foremen_and_kindred","north_east",11.1854218695818,2.30258509299405,2.07944154167984
2018,"no","other","yes","no","Trade","Craftsmen, Foremen_and_kindred","nothern_central",11.308275228294,2.30258509299405,2.30258509299405
2011,"no","other","no","no","Trade","Clerical_and_kindred","north_east",10.5877458437145,2.63905732961526,1.09861228866811
2013,"no","other","no","no","Trade","Clerical_and_kindred","north_east",10.9245601927072,2.63905732961526,1.6094379124341
2016,"no","other","no","no","Trade","Sales_Workers","north_east",11.1423167525291,2.63905732961526,2.07944154167984
2017,"no","other","no","no","Manufacturing","Clerical_and_kindred","north_east",11.1433754200622,2.63905732961526,2.19722457733622
2011,"no","other","no","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.0228923378951,2.63905732961526,1.09861228866811
2012,"no","other","no","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.9510757452644,2.63905732961526,1.38629436111989
2013,"no","other","no","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.2798625035748,2.63905732961526,1.6094379124341
2014,"no","other","no","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.8375364918859,2.63905732961526,1.79175946922805
2015,"no","other","no","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.6743289225605,2.63905732961526,1.94591014905531
2016,"no","other","yes","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.7292318560829,2.63905732961526,2.07944154167984
2017,"no","other","yes","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.8109991817731,2.63905732961526,2.19722457733622
2018,"no","other","yes","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.8866504768774,2.63905732961526,2.30258509299405
2011,"no","other","no","no","Trade","Service_Workers","north_east",11.3752035902413,2.39789527279837,1.38629436111989
2012,"no","other","no","no","Trade","Service_Workers","north_east",10.2226083338545,2.39789527279837,1.6094379124341
2013,"no","other","no","no","Trade","Service_Workers","north_east",11.4353858885148,2.39789527279837,1.79175946922805
2014,"no","other","no","no","Trade","Service_Workers","north_east",11.4057540884709,2.39789527279837,1.94591014905531
2015,"no","other","no","no","Other","Service_Workers","north_east",11.4942264225002,2.39789527279837,2.07944154167984
2017,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",11.4298041482392,2.39789527279837,2.30258509299405
2012,"no","other","no","no","Manufacturing","Operatives_and_kindred","north_east",11.6371832276029,2.39789527279837,1.38629436111989
2013,"yes","other","no","no","Manufacturing","Operatives_and_kindred","north_east",11.4210658451307,2.39789527279837,1.6094379124341
2015,"no","other","no","no","Manufacturing","Clerical_and_kindred","north_east",11.4700618043341,2.39789527279837,1.94591014905531
2017,"no","other","yes","no","Manufacturing","Operatives_and_kindred","north_east",11.6011666271307,2.39789527279837,2.19722457733622
2018,"yes","other","yes","no","Manufacturing","Operatives_and_kindred","north_east",11.698484774581,2.39789527279837,2.30258509299405
2011,"no","other","no","no","Professional_and_Related Service","Professional, Technical_and_kindred","north_east",11.470513874378,2.70805020110221,1.09861228866811
2012,"no","other","no","no","Professional_and_Related Service","Professional, Technical_and_kindred","north_east",11.4193528646999,2.70805020110221,1.38629436111989
2013,"no","other","no","no","Professional_and_Related Service","Clerical_and_kindred","north_east",11.7328414934315,2.70805020110221,1.6094379124341
2014,"no","other","yes","no","Business_and_Repair_Service","Professional, Technical_and_kindred","north_east",11.6521180278884,2.70805020110221,1.79175946922805
2015,"no","other","yes","no","Professional_and_Related Service","Professional, Technical_and_kindred","north_east",11.8855377816063,2.70805020110221,1.94591014905531
2016,"no","other","yes","no","Business_and_Repair_Service","Clerical_and_kindred","north_east",12.1802373703495,2.70805020110221,2.07944154167984
2018,"no","other","yes","no","Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east",12.4292161968444,2.70805020110221,2.30258509299405
2011,"no","other","no","no","Other","Craftsmen, Foremen_and_kindred","north_east",11.021381744712,2.484906649788,1.6094379124341
2012,"no","other","no","no","Other","Managers, Officials_and_Proprietors","north_east",11.1407463791384,2.484906649788,1.79175946922805
2013,"no","other","no","yes","Other","Managers, Officials_and_Proprietors","north_east",11.147703816063,2.484906649788,1.94591014905531
2014,"no","other","yes","no","Other","Managers, Officials_and_Proprietors","north_east",11.1180720531233,2.484906649788,2.07944154167984
2017,"no","other","yes","no","Other","Managers, Officials_and_Proprietors","north_east",11.0929179771728,2.484906649788,2.39789527279837
2018,"no","other","yes","no","Other","Managers, Officials_and_Proprietors","north_east",11.2441713890706,2.484906649788,2.484906649788
2013,"yes","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.4999244164063,2.484906649788,1.79175946922805
2015,"no","other","yes","no","Manufacturing","Operatives_and_kindred","north_east",10.9453527545224,2.484906649788,2.07944154167984
2016,"no","other","yes","no","Construction","Operatives_and_kindred","north_east",11.0000186770837,2.484906649788,2.19722457733622
2017,"no","other","yes","no","Trade","Craftsmen, Foremen_and_kindred","north_east",10.9923351547847,2.484906649788,2.30258509299405
2011,"yes","other","no","no","Trade","Clerical_and_kindred","north_east",11.0871124859476,2.39789527279837,1.09861228866811
2012,"yes","other","no","no","Trade","Laborers_and_farmers","north_east",11.2323135400188,2.39789527279837,1.38629436111989
2013,"no","other","no","no","Manufacturing","Operatives_and_kindred","north_east",11.4244568084826,2.39789527279837,1.6094379124341
2015,"no","other","yes","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.5860339091909,2.39789527279837,1.94591014905531
2016,"no","other","yes","no","Manufacturing","Professional, Technical_and_kindred","north_east",11.7256195704941,2.39789527279837,2.07944154167984
2018,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.878754888503,2.39789527279837,2.30258509299405
2012,"no","other","no","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",11.7379664949327,2.484906649788,1.6094379124341
2015,"no","other","yes","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",11.6653328547214,2.484906649788,2.07944154167984
2016,"no","other","yes","no","Business_and_Repair_Service","Craftsmen, Foremen_and_kindred","north_east",11.6570529081439,2.484906649788,2.19722457733622
2017,"no","other","yes","yes","Business_and_Repair_Service","Operatives_and_kindred","north_east",11.6641004647068,2.484906649788,2.30258509299405
2018,"no","other","yes","no","Manufacturing","Operatives_and_kindred","north_east",11.9340673806119,2.484906649788,2.39789527279837
2011,"no","other","no","no","Other","Clerical_and_kindred","north_east",11.1005873920571,2.484906649788,1.38629436111989
2012,"no","other","no","no","Other","Clerical_and_kindred","north_east",10.7927809129023,2.484906649788,1.6094379124341
2014,"no","other","yes","no","Other","Clerical_and_kindred","north_east",10.8760518068493,2.484906649788,1.94591014905531
2015,"no","other","yes","yes","Other","Clerical_and_kindred","north_east",10.361127882686,2.484906649788,2.07944154167984
2018,"no","other","yes","no","Professional_and_Related Service","Professional, Technical_and_kindred","north_east",11.1552088358086,2.484906649788,2.39789527279837
2011,"no","other","no","no","Manufacturing","Operatives_and_kindred","north_east",11.2953976160417,2.484906649788,1.38629436111989
2013,"no","other","no","no","Trade","Craftsmen, Foremen_and_kindred","north_east",11.1289406936633,2.484906649788,1.79175946922805
2014,"no","other","no","no","Manufacturing","Operatives_and_kindred","north_east",11.030030944057,2.484906649788,1.94591014905531
2015,"no","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.1397467949437,2.484906649788,2.07944154167984
2016,"no","other","no","no","Construction","Craftsmen, Foremen_and_kindred","north_east",11.0408406315207,2.484906649788,2.19722457733622
2017,"no","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.2304935861006,2.484906649788,2.30258509299405
2018,"no","other","no","no","Business_and_Repair_Service","Craftsmen, Foremen_and_kindred","north_east",11.3182793518791,2.484906649788,2.39789527279837
2011,"no","black","no","no","Manufacturing","Operatives_and_kindred","north_east",10.9200886695984,2.484906649788,1.09861228866811
2012,"no","black","no","no","Manufacturing","Operatives_and_kindred","north_east",11.0274176241885,2.484906649788,1.38629436111989
2013,"yes","black","no","no","Manufacturing","Operatives_and_kindred","north_east",11.1138022047667,2.484906649788,1.6094379124341
2014,"no","black","no","no","Manufacturing","Clerical_and_kindred","north_east",11.182610592813,2.484906649788,1.79175946922805
2015,"no","black","no","no","Manufacturing","Clerical_and_kindred","north_east",11.2293590449236,2.484906649788,1.94591014905531
2016,"no","black","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.4682847299998,2.484906649788,2.07944154167984
2017,"no","black","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.4482171160794,2.484906649788,2.19722457733622
2018,"no","black","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.4092511934699,2.484906649788,2.30258509299405
2011,"no","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.1092953222828,2.39789527279837,1.09861228866811
2012,"no","other","yes","no","Manufacturing","Operatives_and_kindred","north_east",10.9467354641763,2.39789527279837,1.38629436111989
2013,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.3383761062433,2.39789527279837,1.6094379124341
2014,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.5182320600559,2.39789527279837,1.79175946922805
2015,"yes","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.9460366734851,2.39789527279837,1.94591014905531
2017,"yes","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.9917608541573,2.39789527279837,2.19722457733622
2018,"yes","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.5268029260285,2.39789527279837,2.30258509299405
2011,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.6230397933341,2.484906649788,1.79175946922805
2012,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.7826002500382,2.484906649788,1.94591014905531
2013,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.840850996623,2.484906649788,2.07944154167984
2014,"no","other","yes","no","Manufacturing","Operatives_and_kindred","north_east",11.7944121103358,2.484906649788,2.19722457733622
2016,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",11.8413463764849,2.484906649788,2.39789527279837
2018,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","north_east",12.0349570468011,2.484906649788,2.56494935746154
2011,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",10.4298266181799,2.56494935746154,1.09861228866811
2012,"no","other","no","no","Trade","Sales_Workers","north_east",10.4603048569381,2.56494935746154,1.38629436111989
2013,"no","other","yes","no","Trade","Managers, Officials_and_Proprietors","north_east",10.5568353925703,2.56494935746154,1.6094379124341
2014,"no","other","yes","no","Trade","Clerical_and_kindred","north_east",10.6717848762866,2.56494935746154,1.79175946922805
2015,"no","other","yes","no","Trade","Operatives_and_kindred","north_east",10.7764422991284,2.56494935746154,1.94591014905531
2017,"no","other","yes","no","Trade","Sales_Workers","north_east",11.0307384791241,2.56494935746154,2.19722457733622
2012,"no","other","no","no","Manufacturing","Managers, Officials_and_Proprietors","nothern_central",11.118906845141,2.484906649788,1.94591014905531
2013,"no","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.212242310185,2.484906649788,2.07944154167984
2014,"yes","other","no","no","Manufacturing","Laborers_and_farmers","nothern_central",11.2106511754286,2.484906649788,2.19722457733622
2015,"no","other","no","no","Manufacturing","Operatives_and_kindred","nothern_central",11.0752082544415,2.484906649788,2.30258509299405
2017,"no","other","no","no","Manufacturing","Operatives_and_kindred","nothern_central",11.2030947113888,2.484906649788,2.484906649788
2018,"no","other","no","no","Manufacturing","Operatives_and_kindred","nothern_central",11.1842823605552,2.484906649788,2.56494935746154
2011,"no","other","no","no","Trade","Service_Workers","nothern_central",11.3965459064789,2.63905732961526,1.09861228866811
2012,"no","other","no","no","Other","Professional, Technical_and_kindred","nothern_central",11.5774640173578,2.63905732961526,1.38629436111989
2013,"no","other","no","no","Other","Professional, Technical_and_kindred","nothern_central",11.6177074633192,2.63905732961526,1.6094379124341
2015,"no","other","no","no","Other","Professional, Technical_and_kindred","nothern_central",11.8328940481208,2.63905732961526,1.94591014905531
2016,"no","other","no","no","Other","Managers, Officials_and_Proprietors","nothern_central",11.7530871430036,2.63905732961526,2.07944154167984
2018,"no","other","no","no","Other","Managers, Officials_and_Proprietors","nothern_central",12.0390798408075,2.63905732961526,2.30258509299405
2011,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","nothern_central",10.140925648295,2.484906649788,1.09861228866811
2012,"no","other","no","no","Trade","Sales_Workers","nothern_central",10.5361894233273,2.484906649788,1.38629436111989
2013,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","nothern_central",10.296836218799,2.484906649788,1.6094379124341
2014,"no","other","no","no","Trade","Sales_Workers","nothern_central",10.964769486863,2.484906649788,1.79175946922805
2015,"no","other","no","no","Manufacturing","Managers, Officials_and_Proprietors","nothern_central",10.4778523232316,2.484906649788,1.94591014905531
2016,"no","other","no","no","Trade","Sales_Workers","nothern_central",10.0519075576544,2.484906649788,2.07944154167984
2012,"no","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.3380754068858,2.484906649788,1.79175946922805
2013,"yes","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.1983968953164,2.484906649788,1.94591014905531
2015,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.5410366179313,2.484906649788,2.19722457733622
2016,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.3756486670639,2.484906649788,2.30258509299405
2017,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.6139141279917,2.484906649788,2.39789527279837
2018,"no","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.4422412711465,2.484906649788,2.484906649788
2011,"yes","other","no","no","Manufacturing","Operatives_and_kindred","nothern_central",10.8539066303662,2.484906649788,1.09861228866811
2012,"yes","other","yes","no","Manufacturing","Clerical_and_kindred","nothern_central",10.9770262768943,2.484906649788,1.38629436111989
2013,"yes","other","yes","no","Manufacturing","Clerical_and_kindred","nothern_central",10.9663534854752,2.484906649788,1.6094379124341
2014,"yes","other","yes","no","Manufacturing","Clerical_and_kindred","nothern_central",11.1022421154919,2.484906649788,1.79175946922805
2015,"yes","other","no","no","Manufacturing","Clerical_and_kindred","nothern_central",11.0062153608236,2.484906649788,1.94591014905531
2016,"yes","other","yes","no","Manufacturing","Clerical_and_kindred","nothern_central",11.2841567470303,2.484906649788,2.07944154167984
2017,"yes","other","yes","no","Other","Clerical_and_kindred","nothern_central",11.3408808391552,2.484906649788,2.19722457733622
2018,"yes","other","yes","no","Other","Clerical_and_kindred","nothern_central",11.4808611555654,2.484906649788,2.30258509299405
2011,"yes","other","no","no","Manufacturing","Clerical_and_kindred","nothern_central",11.1886177199994,2.484906649788,1.6094379124341
2012,"no","other","no","no","Manufacturing","Clerical_and_kindred","nothern_central",11.2709593759151,2.484906649788,1.79175946922805
2014,"yes","other","no","no","Manufacturing","Clerical_and_kindred","nothern_central",11.3968492967864,2.484906649788,2.07944154167984
2015,"no","other","no","no","Manufacturing","Clerical_and_kindred","nothern_central",11.3929531596108,2.484906649788,2.19722457733622
2016,"no","other","no","no","Manufacturing","Operatives_and_kindred","nothern_central",11.5569854116608,2.484906649788,2.30258509299405
2017,"no","other","no","no","Manufacturing","Clerical_and_kindred","nothern_central",11.6492470613533,2.484906649788,2.39789527279837
2018,"no","other","no","no","Trade","Clerical_and_kindred","nothern_central",11.4623434964778,2.484906649788,2.484906649788
2011,"no","other","no","no","Manufacturing","Operatives_and_kindred","nothern_central",12.278983086644,2.484906649788,1.09861228866811
2012,"no","other","no","no","Manufacturing","Operatives_and_kindred","nothern_central",11.6371832276029,2.484906649788,1.38629436111989
2014,"no","other","yes","no","Manufacturing","Operatives_and_kindred","nothern_central",11.7085217711047,2.484906649788,1.79175946922805
2016,"no","other","yes","no","Manufacturing","Laborers_and_farmers","nothern_central",11.7710487491805,2.484906649788,2.07944154167984
2017,"no","other","yes","no","Manufacturing","Laborers_and_farmers","nothern_central",11.7106204100028,2.484906649788,2.19722457733622
2018,"no","other","yes","no","Trade","Professional, Technical_and_kindred","nothern_central",11.8625529336906,2.484906649788,2.30258509299405
2012,"no","other","no","no","Trade","Laborers_and_farmers","nothern_central",10.8236922149814,2.39789527279837,1.38629436111989
2013,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","nothern_central",11.147703816063,2.39789527279837,1.6094379124341
2014,"no","other","no","no","Trade","Craftsmen, Foremen_and_kindred","nothern_central",11.1180720531233,2.39789527279837,1.79175946922805
2015,"no","other","no","no","Trade","Laborers_and_farmers","nothern_central",11.0130765428484,2.39789527279837,1.94591014905531
2016,"no","other","no","no","Trade","Sales_Workers","nothern_central",10.0519075576544,2.39789527279837,2.07944154167984
2017,"no","other","no","no","Trade","Sales_Workers","nothern_central",10.9256814328163,2.39789527279837,2.19722457733622
2018,"no","other","no","no","Trade","Sales_Workers","nothern_central",10.0519075576544,2.39789527279837,2.30258509299405
2011,"yes","other","yes","no","Construction","Laborers_and_farmers","nothern_central",11.4167800264344,2.56494935746154,1.09861228866811
2012,"no","other","no","no","Construction","Laborers_and_farmers","south",11.3505397030758,2.56494935746154,1.38629436111989
2013,"yes","other","yes","no","Construction","Managers, Officials_and_Proprietors","south",12.4292161968444,2.56494935746154,1.6094379124341
2014,"yes","other","yes","no","Construction","Laborers_and_farmers","south",11.3680137904568,2.56494935746154,1.79175946922805
2011,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","south",11.1128393142972,2.484906649788,1.6094379124341
2012,"no","other","yes","no","Other","Farm_Laborers_and_Foreman","south",10.9214563280832,2.484906649788,1.79175946922805
2014,"no","other","yes","no","Other","Service_Workers","south",10.9351497033442,2.484906649788,2.07944154167984
2015,"no","other","yes","no","Manufacturing","Craftsmen, Foremen_and_kindred","south",10.075920797387,2.484906649788,2.19722457733622
2016,"no","other","no","no","Other","Laborers_and_farmers","south",11.6828245142656,2.484906649788,2.30258509299405
2017,"no","other","no","no","Other","Service_Workers","south",12.1149310600509,2.484906649788,2.39789527279837
2018,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",11.5963919663058,2.484906649788,2.484906649788
2011,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",10.9544710523773,2.484906649788,1.38629436111989
2012,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",11.0589162799107,2.484906649788,1.6094379124341
2013,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",10.962043352221,2.484906649788,1.79175946922805
2015,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",11.1100906446203,2.484906649788,2.07944154167984
2016,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",11.2205857625806,2.484906649788,2.19722457733622
2017,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",11.1798825016642,2.484906649788,2.30258509299405
2018,"no","other","no","no","Manufacturing","Operatives_and_kindred","south",11.2192610003075,2.484906649788,2.39789527279837
2011,"no","other","no","no","Other","Clerical_and_kindred","nothern_central",10.3487289886458,2.63905732961526,1.09861228866811
2013,"no","other","no","no","Trade","Service_Workers","nothern_central",11.3598503898062,2.63905732961526,1.6094379124341
2014,"no","other","no","no","Other","Service_Workers","nothern_central",11.3425752449255,2.63905732961526,1.79175946922805
2015,"no","other","no","no","Business_and_Repair_Service","Professional, Technical_and_kindred","nothern_central",11.1359080080232,2.63905732961526,1.94591014905531
2016,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","nothern_central",11.3535588558034,2.63905732961526,2.07944154167984
2017,"no","other","no","no","Other","Managers, Officials_and_Proprietors","nothern_central",11.2455707187374,2.63905732961526,2.19722457733622
2012,"yes","other","no","no","Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central",11.8023451768518,2.30258509299405,1.6094379124341
2013,"yes","other","no","no","Manufacturing","Managers, Officials_and_Proprietors","nothern_central",11.1381344107656,2.30258509299405,1.79175946922805
2014,"no","other","yes","no","Other","Laborers_and_farmers","nothern_central",11.4468544635176,2.30258509299405,1.94591014905531
2016,"yes","other","yes","no","Manufacturing","Operatives_and_kindred","nothern_central",11.9073807872009,2.30258509299405,2.19722457733622
2018,"yes","other","yes","no","Other","Operatives_and_kindred","nothern_central",11.8731840499899,2.30258509299405,2.39789527279837
2011,"yes","other","no","no","Professional_and_Related Service","Service_Workers","nothern_central",11.0449619931873,2.39789527279837,1.09861228866811
2012,"yes","other","no","no","Professional_and_Related Service","Service_Workers","nothern_central",11.0666383623418,2.39789527279837,1.38629436111989
2013,"yes","other","no","no","Professional_and_Related Service","Service_Workers","nothern_central",10.9653822592691,2.39789527279837,1.6094379124341
